"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[20,4]",5.55160533947342,0.00180288202257733,0.192383955892321,5.1686919063756,5.42093974965922,5.55590950415603,5.68315282919212,5.92398955288651,11386.8365041655,0.999996792507158
"mu[21,1]",6.21376842438385,0.00203676893609472,0.233811698159465,5.76599968122388,6.0514396176928,6.21046869408326,6.37169805760432,6.67200177941769,13177.9831208961,0.999939222873796
"mu[21,2]",5.24308527869084,0.0011846634349563,0.131610838348256,4.98223809681497,5.15405659506797,5.23993769677677,5.33506322203609,5.49846735546116,12342.2216943601,1.00028419769998
"mu[21,3]",4.82983574583069,0.00120330001544406,0.133199325291406,4.56719198949297,4.73970844058626,4.82773230843047,4.92189490365469,5.08705582301488,12253.3885596266,1.00027626872441
"mu[21,4]",4.15073275104953,0.0017478999257617,0.188610860991607,3.77845754988514,4.02324079369259,4.15104823202244,4.27970172950522,4.50985551102713,11643.9482696584,1.0000687961065
"mu[22,1]",7.78956596779875,0.00215243633417577,0.231464101774418,7.35186932950557,7.63078594533062,7.78487793542535,7.94600421602193,8.26163307135252,11563.9621335401,0.999781521083674
"mu[22,2]",7.07908253768291,0.0012902008752044,0.139393804900876,6.80489637456273,6.98441079444157,7.08034411900008,7.17431251499341,7.35633244720553,11672.7257315833,0.999892508861418
"mu[22,3]",6.67503225292402,0.00130622655967162,0.141110939915411,6.39809296940747,6.57829522555711,6.67593905762275,6.77177159424061,6.95571943341388,11670.362579848,0.99990284317887
"mu[22,4]",6.12237838818405,0.00184759555466396,0.195504285030702,5.73118490283385,5.99135483460065,6.12582291842581,6.25439313696615,6.49921675576395,11196.924348956,0.999971092215098
"mu[23,1]",6.75373390880325,0.00331777880855931,0.346097967786678,6.10369886570734,6.51261815310103,6.74571503669191,6.98870056204616,7.44998718717611,10881.862667636,0.999969570008243
"mu[23,2]",5.94266535236847,0.00215761309284153,0.233703134130091,5.48764718096359,5.78252807668465,5.9412045120361,6.10023969717618,6.40923567409717,11732.2669353634,1.00000897109723
"mu[23,3]",5.53505892409016,0.00218268883428233,0.235936075665288,5.07567266517996,5.37503137820443,5.53416533181995,5.69373001279937,6.00710140371444,11684.3632322115,1.00001143519161
"mu[23,4]",4.93352375411933,0.00292598028571058,0.305425414466845,4.3226257142363,4.72987425523837,4.93876938737236,5.14151271063653,5.51725884502675,10896.0114878905,1.00002844966423
