Extraction,Number,PCR_rep,Timepoint,Timepoint_name,Carboy,Time_sampled,Hours_base,Days_base,Component,Filter,Marker,Filt_mL,Control,Reaction,Dilution,ddPCR_copies_ul_well,Positive_droplets,Negative_droplets,copies_ul_extract,copies_mL
52345-762,762,3,3,8h,2,5:49,11.5,0.48,DNA,5,Dloop,1700,FALSE,Duplex,1,0.98982954,17,20197,10.88812494,0.320238969
52345-762,762,1,3,8h,2,5:49,11.5,0.48,RNA,5,16S,1700,FALSE,Monoplex,0.1,0.106801379,2,22030,11.74815169,0.345533873
52345-762,762,2,3,8h,2,5:49,11.5,0.48,DNA,5,Dloop,1700,FALSE,Duplex,1,1.605184436,31,22705,17.6570288,0.519324376
52345-762,762,2,3,8h,2,5:49,11.5,0.48,RNA,5,16S,1700,FALSE,Monoplex,0.1,0.176572114,3,19987,19.42293254,0.571262722
52345-762,762,1,3,8h,2,5:49,11.5,0.48,DNA,5,Dloop,1700,FALSE,Duplex,1,1.85758543,36,22782,20.43343973,0.600983521
52345-762,762,1,3,8h,2,5:49,11.5,0.48,DNA,5,16S,1700,FALSE,Monoplex,1,2.106580019,39,21761,23.17238021,0.681540594
52345-762,762,5,3,8h,2,5:49,11.5,0.48,DNA,5,16S,1700,FALSE,Duplex,1,2.213711023,38,20176,24.35082126,0.716200625
52345-762,762,4,3,8h,2,5:49,11.5,0.48,DNA,5,16S,1700,FALSE,Duplex,1,2.486377478,48,22688,27.35015226,0.804416243
52345-762,762,2,3,8h,2,5:49,11.5,0.48,DNA,5,16S,1700,FALSE,Monoplex,1,2.520807266,49,22844,27.72887993,0.815555292
52345-762,762,3,3,8h,2,5:49,11.5,0.48,DNA,5,16S,1700,FALSE,Duplex,1,3.149303198,61,22757,34.64233518,1.018892211
52345-762,762,2,3,8h,2,5:49,11.5,0.48,DNA,5,Cytb,1700,FALSE,Monoplex,1,4.617343903,85,21615,50.79078293,1.493846557
52345-762,762,1,3,8h,2,5:49,11.5,0.48,DNA,5,Cytb,1700,FALSE,Monoplex,1,5.080024719,91,21029,55.88027191,1.643537409
52345-762,762,2,3,8h,2,5:49,11.5,0.48,Carryover,5,Cytb,1700,FALSE,Monoplex,1,19.38999176,359,21603,213.2899094,6.273232628
52345-762,762,1,3,8h,2,5:49,11.5,0.48,Carryover,5,Cytb,1700,FALSE,Monoplex,1,20.43109131,346,19751,224.7420044,6.610058953
52345-763,763,2,3,8h,3,6:02,11.7,0.49,DNA,5,Bridge,1975,FALSE,Duplex,1,0.211058065,4,22242,2.321638719,0.058775664
52345-763,763,3,3,8h,3,6:02,11.7,0.49,DNA,5,Bridge,1975,FALSE,Duplex,1,0.215154336,4,21818,2.366697699,0.059916397
52345-763,763,1,3,8h,3,6:02,11.7,0.49,DNA,5,Bridge,1975,FALSE,Duplex,1,0.320980233,6,21888,3.530782558,0.0893869
52345-763,763,2,3,8h,3,6:02,11.7,0.49,DNA,5,Dloop,1975,FALSE,Duplex,1,0.528964758,10,22236,5.818612338,0.147306641
52345-763,763,3,3,8h,3,6:02,11.7,0.49,DNA,5,Dloop,1975,FALSE,Duplex,1,0.701066554,13,21809,7.71173209,0.195233724
